Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used,Error Code
HALCROW-X-SH,,-3457.481583696468,C1,21.9,21.93,35.78,56.81,-3457.05897355,-3457.05802935,0.08265102,-3457.14068037,246408.08,1554.6,1219.0,
HALCROW-X-SMe,,-3536.197985197542,C1,19.29,19.38,35.02,56.4,-3535.71281055,-3535.71186634,0.08865443,-3535.80052077,253008.08,1529.0,1305.0,
HALCROW-X-SO2Me,,-3837.197068302074,C1,16.68,16.81,25.25,27.32,-3836.69003582,-3836.68909161,0.09549777,-3836.78458938,245905.28,1656.9,1429.0,
HALCROW-X-SOMe,,-3686.646363076132,C1,18.16,18.33,33.95,45.71,-3686.15215994,-3686.15121573,0.09254956,-3686.24376529,337437.632,1657.7,1367.0,
HALCROW-Y-Br,,-12954.876328303455,C1,12.9,17.31,17.33,29.34,-12954.49029284,-12954.48934863,0.09030884,-12954.57965748,275537.472,1541.3,1313.0,
HALCROW-Y-CH2OH,,-3119.504795508479,C1,16.85,22.99,23.09,30.77,-3118.94062377,-3118.93967956,0.09831389,-3119.03799345,361034.128,1689.6,1441.0,
HALCROW-Y-Cl,,-4499.467986833798,C1,18.69,23.79,23.84,33.1,-4499.08062507,-4499.07968086,0.08625791,-4499.16593877,240236.992,1555.7,1269.0,
HALCROW-Y-CO2Et,,-3730.601386479385,C1,10.84,14.36,14.41,25.55,-3729.86978234,-3729.86883813,0.12344071,-3729.99227885,639743.024,1683.8,1861.0,
HALCROW-Y-I,,-3849.789507202664,C1,9.88,13.65,13.66,27.51,-3849.40425512,-3849.40331091,0.09329394,-3849.49660486,277309.536,1580.6,1321.0,
HALCROW-Y-Me,,-2818.482579104772,C1,25.88,29.85,29.92,39.23,-2817.94348058,-2817.94253637,0.08991989,-2818.03245626,305709.728,1563.7,1317.0,
HALCROW-Y-tBu,,-3290.730392610536,C1,14.57,18.87,18.94,25.23,-3289.83504378,-3289.83409958,0.1190022,-3289.95310178,706549.616,1735.5,1833.0,
HPZBFE,,-2669.735657671433,C1,46.81,59.73,59.81,66.51,-2669.29923056,-2669.29828635,0.07642817,-2669.37471452,223453.952,1552.2,1157.0,
KEKVIF03,,-3390.256441612953,C1,19.48,21.58,31.63,37.93,-3389.85394041,-3389.85299621,0.08271807,-3389.93571427,602250.768,1624.3,1207.0,
NEFSUM02,,-2791.348589294394,C1,27.18,36.36,40.93,48.54,-2790.84140147,-2790.84045726,0.08271579,-2790.92317305,362873.6,1551.8,1305.0,
RUWZUF,,-2459.260613808768,C1,17.9,25.95,29.63,33.71,-2458.72007146,-2458.71912725,0.08771872,-2458.80684597,307156.992,1608.4,1155.0,
SAKWIM,,-4059.045971842238,C1,30.84,40.96,42.3,51.27,-4058.03602254,-4058.03507833,0.13042608,-4058.16550442,1015788.432,1654.3,1636.0,
WAHKEX,,-3201.962196231249,C1,18.81,23.73,28.09,34.24,-3201.54437357,-3201.54342936,0.07934971,-3201.62277907,177700.512,1568.4,1076.0,
ZUCROE,,-4206.755422327811,"
*****************
*ORCA*
*****************

#",,,,,,,,,,728.1,2321.0,Error termination in PROPINT
