Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Smallest log10(kcal mol-1) SCF Energy Diff
KIQREL-S4,PBE0,def2-TZVP,1290.0,0.0,4.0,0.009652,650.22,3394.7,16.0,565276.0,-7919.85536436,-7919.39117327,0.09662214,-7919.48779541,12.53,17.99,22.99,25.75,-4.607015891995723
KIQRIP-S4,PBE0,def2-TZVP,2045.0,0.0,4.0,0.009028,935.51,3309.8,16.0,2674833.0,-8812.60326516,-8811.90657961,0.11988131,-8812.02646092,18.41,25.94,29.62,31.03,-4.33554961437859
KIQROV-S4,PBE0,def2-TZVP,1515.0,0.0,4.0,0.01117,615.53,3389.9,16.0,861895.0,-3213.64264697,-3213.05356654,0.10692346,-3213.16049001,18.07,20.61,28.32,32.28,-5.772879590380067
LEGWAW-S4,PBE0,def2-TZVP,1549.0,0.0,4.0,0.007917,689.63,3187.6,16.0,675139.0,-4545.47934996,-4544.77728611,0.12430478,-4544.90159089,7.11,9.35,13.17,16.24,-5.354282317596545
OZIMIV-S4,PBE0,def2-TZVP,861.0,0.0,4.0,0.006811,387.25,3743.0,16.0,210612.0,-2544.19667682,-2543.90842044,0.07686104,-2543.98528148,30.84,49.87,54.08,55.93,-5.452455019375569
PEBSEW-S4,PBE0,def2-TZVP,1305.0,0.0,4.0,0.005296,551.4,3455.9,16.0,512321.0,-3098.00627698,-3097.50554788,0.10150538,-3097.60705327,12.8,19.98,24.12,24.21,-5.332852922059475
PEBSOG-S4,PBE0,def2-TZVP,1713.0,0.0,4.0,0.006218,705.57,3091.3,16.0,1210999.0,-3591.79056236,-3591.1420132,0.11853197,-3591.26054518,11.1,16.76,19.38,21.2,-5.236604829528578
PEBSUM-S4,PBE0,def2-TZVP,1613.0,0.0,4.0,0.005693,653.58,3430.8,16.0,1250651.0,-3367.66386206,-3366.99188029,0.11879758,-3367.11067788,8.54,9.61,10.11,13.48,-5.5512659758435765
RIPSEO-S2,PBE0,def2-TZVP,1327.0,0.0,4.0,0.010303,539.72,3389.1,16.0,1116821.0,-3234.70499297,-3234.08859918,0.10653408,-3234.19513326,8.72,20.14,29.6,32.17,-5.534314059127024
RIPSIS-S2,PBE0,def2-TZVP,1179.0,0.0,4.0,0.00974,487.65,3474.4,16.0,796654.0,-3080.03623072,-3079.49272803,0.09706301,-3079.58979105,6.4,17.27,18.07,27.77,-5.7693677560266
SAPBIV-S4,PBE0,def2-TZVP,749.0,0.0,4.0,0.007423,366.11,3678.0,16.0,112536.0,-3062.00264875,-3061.73826314,0.0686829,-3061.80694604,17.71,18.95,32.29,61.91,-4.1964766707867645
SEQFIE-S4,PBE0,def2-TZVP,613.0,0.0,4.0,0.007649,320.05,2640.7,16.0,72952.0,-2941.77699572,-2941.56306344,0.0645662,-2941.62762965,23.28,27.05,33.28,81.57,-5.733844004532473
TPORCP11-S2,PBE0,def2-TZVP,1701.0,0.0,4.0,0.007864,671.63,3429.4,16.0,1022490.0,-3293.63638719,-3292.99949481,0.10133111,-3293.10082592,14.13,28.49,29.07,38.01,-5.511512079102989
TUBTIT-S2,PBE0,def2-TZVP,704.0,0.0,4.0,0.01109,293.26,3738.3,16.0,119086.0,-2117.33358918,-2116.97552789,0.07557814,-2117.05110603,6.47,37.79,50.02,79.06,-5.576645052888144
UKUJUG-S4,PBE0,def2-TZVP,1253.0,0.0,4.0,0.016761,483.54,3457.3,16.0,403887.0,-2655.82665661,-2655.20783327,0.09672342,-2655.30455668,13.9,20.52,23.53,26.86,-5.496871997586195
VIYGIU-S4,PBE0,def2-TZVP,1181.0,0.0,4.0,0.006122,495.38,3465.8,16.0,533115.0,-2871.45367194,-2870.97439508,0.09484411,-2871.06923919,19.7,22.95,26.29,30.55,-5.215338203530382
XIZLUO04-S4,PBE0,def2-TZVP,897.0,0.0,4.0,0.005251,447.32,3688.4,16.0,269014.0,-3430.36353902,-3430.04410902,0.08763178,-3430.1317408,14.2,35.14,39.89,42.94,-4.93323063105786
YUDGUA02-S4,PBE0,def2-TZVP,1625.0,0.0,4.0,0.012793,708.42,3192.4,16.0,1180773.0,-4564.668109,-4564.02457447,0.11041524,-4564.13498971,19.88,23.62,29.98,30.08,-4.618436261779448
