Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code,Smallest log10(kcal mol-1) SCF Energy Diff
REGXAC_CREST40,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1444.7,8.0,274137.0,-944.40939744,-943.83498762,0.07014652,-943.90513414,44.34,67.64,76.9,90.78,,-4.6102974002746695
REGXAC_CREST41,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1440.9,16.0,294058.0,-944.41171839,-943.83731879,0.07039105,-943.90770984,49.51,65.11,68.95,77.32,,-5.049333387506263
REGXAC_CREST42,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,234.5,16.0,891632.0,-944.402385667445,,,,,,,,Optimization Did Not Converge,-4.155676660963599
REGXAC_CREST43,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,232.4,16.0,961351.0,-944.411843195798,,,,,,,,Optimization Did Not Converge,-4.925750420859266
REGXAC_CREST44,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1441.9,8.0,158965.0,-944.40909143,-943.83335001,0.06972391,-943.90307392,53.03,75.49,85.36,99.28,,-4.265947282397436
REGXAC_CREST45,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1441.3,8.0,160959.0,-944.40429186,-943.82865873,0.06998877,-943.8986475,38.06,65.71,78.37,93.78,,-4.825456812983991
REGXAC_CREST46,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1447.6,8.0,162399.0,-944.40102709,-943.82586906,0.07017889,-943.89604795,48.5,65.69,71.86,94.9,,-4.572652004414855
REGXAC_CREST47,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1445.3,8.0,162545.0,-944.40941215,-943.83361739,0.06943331,-943.9030507,38.76,66.69,75.52,81.46,,-4.567521739011943
REGXAC_CREST48,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,234.8,16.0,728420.0,-944.411129879703,,,,,,,,Optimization Did Not Converge,-4.573997532875435
REGXAC_CREST49,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,234.8,16.0,1118550.0,-944.411178914783,,,,,,,,Optimization Did Not Converge,-4.880122471276262
REGXAC_CREST5,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1442.7,8.0,158583.0,-944.41271989,-943.83881815,0.07055324,-943.90937139,45.91,61.14,67.37,72.78,,-5.122254022166765
REGXAC_CREST50,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1440.0,8.0,162451.0,-944.40433966,-943.82893903,0.07029431,-943.89923334,31.06,69.81,73.88,90.49,,-3.920840786058423
REGXAC_CREST51,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1440.9,8.0,165459.0,-944.40018826,-943.8256267,0.0705713,-943.896198,39.67,57.51,75.78,85.8,,-5.702504252326227
REGXAC_CREST52,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1441.5,8.0,231487.0,-944.39363555,-943.81879269,0.07063211,-943.8894248,41.86,54.46,73.31,97.13,,-5.008042948539213
REGXAC_CREST53,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,232.9,16.0,1052583.0,-944.411930844645,,,,,,,,Optimization Did Not Converge,-4.804235534033108
REGXAC_CREST54,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1440.9,8.0,143992.0,-944.40350864,-943.82862396,0.07098422,-943.89960818,36.6,62.89,73.89,86.97,,-4.326422616469555
REGXAC_CREST55,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1445.1,8.0,134312.0,-944.41002234,-943.83556182,0.07010564,-943.90566746,54.37,65.27,79.46,98.15,,-4.952315095520925
REGXAC_CREST56,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,233.1,16.0,944370.0,-944.404453651198,,,,,,,,Optimization Did Not Converge,-5.018145503297359
REGXAC_CREST57,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1440.6,8.0,140647.0,-944.40037556,-943.8247838,0.07014152,-943.89492532,45.77,75.29,83.28,102.68,,-4.206755586725742
REGXAC_CREST58,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1440.0,8.0,147949.0,-944.40531505,-943.82993765,0.07053509,-943.90047275,28.14,47.84,66.57,98.67,,-4.560095703438224
REGXAC_CREST59,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,234.0,16.0,960665.0,-944.41126286373,,,,,,,,Optimization Did Not Converge,-4.273665139411987
REGXAC_CREST6,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1445.3,8.0,137912.0,-944.41360217,-943.83874404,0.06993909,-943.90868313,43.02,62.26,76.69,83.3,,-4.470609894739244
